filename,shift_amount_hz,original_itd,original_ild,shifted_itd,shifted_ild,itd_change,ild_change
test_center.wav,200.0,0.000,0.000,0.000,0.000,0.000,0.000
test_center.wav,400.0,0.000,0.000,0.000,0.000,0.000,0.000
test_center.wav,600.0,0.000,0.000,0.000,0.000,0.000,0.000
test_left.wav,200.0,0.000,6.001,0.000,6.002,0.000,0.001
test_left.wav,400.0,0.000,6.001,0.000,6.002,0.000,0.000
test_left.wav,600.0,0.000,6.001,0.000,6.001,0.000,-0.000
test_right.wav,200.0,0.000,-1.939,0.000,-1.938,0.000,0.001
test_right.wav,400.0,0.000,-1.939,0.000,-1.938,0.000,0.000
test_right.wav,600.0,0.000,-1.939,0.000,-1.939,0.000,-0.000
test_speech.wav,200.0,0.000,2.000,0.000,2.000,0.000,0.000
test_speech.wav,400.0,0.000,2.000,0.000,2.000,0.000,0.000
test_speech.wav,600.0,0.000,2.000,0.000,2.000,0.000,0.000
